datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2026-06-19 00:40:01,200,4.383069038391113,0.9003064632415771,0.01,10000,1229636
2026-06-19 00:40:17,400,4.37407922744751,0.8595016002655029,0.01,10000,1229636
2026-06-19 00:40:31,600,4.36083984375,0.8127433061599731,0.01,10000,1229636
2026-06-19 00:40:46,800,4.2690582275390625,0.7275888323783875,0.01,10000,1229636
2026-06-19 00:41:01,1000,4.188409805297852,0.7322622537612915,0.01,10000,1229636
2026-06-19 05:50:38,1200,4.091344356536865,0.8858630061149597,0.01,20000,2324341
2026-06-19 05:50:55,1400,3.8859949111938477,0.8053903579711914,0.01,20000,2324341
2026-06-19 05:51:12,1600,3.803744316101074,0.784252941608429,0.01,20000,2324341
2026-06-19 05:51:27,1800,3.7392899990081787,0.8094829320907593,0.01,20000,2324341
2026-06-19 05:51:42,2000,3.6192593574523926,0.8126232624053955,0.01,20000,2324341
2026-06-26 14:39:50,200,4.36802864074707,0.8404684662818909,0.01,10000,1229896
2026-06-26 14:40:09,400,4.334602355957031,0.7776279449462891,0.01,10000,1229896
2026-06-26 14:40:27,600,4.357635021209717,0.8394471406936646,0.01,10000,1229896
2026-06-26 14:40:45,800,4.257832050323486,0.8014887571334839,0.01,10000,1229896
2026-06-26 14:41:03,1000,4.218716621398926,0.7858147621154785,0.01,10000,1229896
2026-06-26 19:47:58,1200,4.0618133544921875,0.855309009552002,0.01,20000,2318166
2026-06-26 19:48:17,1400,3.9106249809265137,0.8139825463294983,0.01,20000,2318166
2026-06-26 19:48:36,1600,3.789356231689453,0.815762996673584,0.01,20000,2318166
2026-06-26 19:48:54,1800,3.683077812194824,0.8203977346420288,0.01,20000,2318166
2026-06-26 19:49:12,2000,3.70536470413208,0.8084523677825928,0.01,20000,2318166
2026-06-27 00:53:11,2200,3.357637405395508,0.7972676753997803,0.01,30000,3449193
2026-06-27 00:53:31,2400,3.3997631072998047,0.7823359966278076,0.01,30000,3449193
2026-06-27 00:53:50,2600,3.370447874069214,0.8438408374786377,0.01,30000,3449193
2026-06-27 00:54:09,2800,3.282505750656128,0.750460147857666,0.01,30000,3449193
2026-06-27 00:54:29,3000,3.242469549179077,0.7667220830917358,0.01,30000,3449193
2026-06-27 05:32:27,3200,3.2465639114379883,0.8298399448394775,0.01,40000,4516947
2026-06-27 05:32:45,3400,3.1189959049224854,0.7716408371925354,0.01,40000,4516947
2026-06-27 05:33:03,3600,3.0274553298950195,0.7583609819412231,0.01,40000,4516947
2026-06-27 05:33:22,3800,3.007025718688965,0.7801257371902466,0.01,40000,4516947
2026-06-27 05:33:40,4000,3.1251845359802246,0.7432569265365601,0.01,40000,4516947
