datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2026-05-27 17:31:14,200,4.403703689575195,0.8843289613723755,0.01,100,10237
2026-05-27 17:31:22,400,4.3900675773620605,0.5158247351646423,0.01,100,10237
2026-05-27 17:31:29,600,4.399328231811523,0.7193166017532349,0.01,100,10237
2026-05-27 17:31:36,800,4.390100479125977,0.33996403217315674,0.01,100,10237
2026-05-27 17:31:44,1000,4.385164737701416,0.24556761980056763,0.01,100,10237
2026-05-27 17:32:11,1200,4.347153663635254,0.6988559365272522,0.01,200,13643
2026-05-27 17:32:18,1400,4.303356647491455,0.3138367533683777,0.01,200,13643
2026-05-27 17:32:25,1600,4.309519290924072,0.21315951645374298,0.01,200,13643
2026-05-27 17:32:32,1800,4.307749271392822,0.22827374935150146,0.01,200,13643
2026-05-27 17:32:39,2000,4.317205905914307,0.6182044744491577,0.01,200,13643
2026-05-27 17:33:07,2200,4.231125354766846,0.3276151120662689,0.01,300,17293
2026-05-27 17:33:15,2400,4.246973037719727,0.2801651060581207,0.01,300,17293
2026-05-27 17:33:24,2600,4.22501802444458,0.6538771390914917,0.01,300,17293
2026-05-27 17:33:32,2800,4.235440731048584,0.2056964933872223,0.01,300,17293
2026-05-27 17:33:39,3000,4.2462158203125,0.17716427147388458,0.01,300,17293
2026-05-27 17:34:06,3200,4.210713863372803,0.682191789150238,0.01,400,20760
2026-06-28 02:24:27,200,4.36553955078125,0.8364447355270386,0.01,20000,2349027
2026-06-28 02:24:49,400,4.339725017547607,0.8221508860588074,0.01,20000,2349027
2026-06-28 02:25:10,600,4.318571090698242,0.8321368098258972,0.01,20000,2349027
2026-06-28 02:25:31,800,4.243767738342285,0.7802950143814087,0.01,20000,2349027
2026-06-28 02:25:52,1000,4.154085159301758,0.8359331488609314,0.01,20000,2349027
2026-06-28 04:59:41,1200,4.067317962646484,0.8228850364685059,0.01,25000,2865431
2026-06-28 05:00:04,1400,3.9114561080932617,0.7950626611709595,0.01,25000,2865431
2026-06-28 05:00:26,1600,3.7453012466430664,0.7996962070465088,0.01,25000,2865431
2026-06-28 05:00:49,1800,3.6339564323425293,0.8127749562263489,0.01,25000,2865431
2026-06-28 05:01:12,2000,3.6465680599212646,0.8486289978027344,0.01,25000,2865431
2026-06-28 07:42:10,2200,3.4368581771850586,0.7772001624107361,0.01,30000,3388901
2026-06-28 07:42:33,2400,3.3484110832214355,0.8029053807258606,0.01,30000,3388901
2026-06-28 07:42:55,2600,3.417473316192627,0.7927303314208984,0.01,30000,3388901
2026-06-28 07:43:18,2800,3.336669445037842,0.793860673904419,0.01,30000,3388901
2026-06-28 07:43:40,3000,3.30755352973938,0.7732944488525391,0.01,30000,3388901
