datetime,game_length,game_result,game_simulations,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2026-06-27 14:49:53,108,B+4.5,43092,9,True,False,False,,-1,83.716,0
2026-06-27 14:51:26,96,B+4.5,38304,3,True,False,False,,-1,88.0653,0
2026-06-27 14:53:31,162,W+45.5,64638,6,True,False,False,,-1,100.5543,0
2026-06-27 14:54:48,112,B+4.5,44688,3,True,False,False,,-1,94.6955,0
2026-06-27 14:55:55,72,W+7.5,28728,3,True,False,False,,-1,89.0477,0
2026-06-27 14:57:58,149,B+24.5,59451,14,True,False,False,,-1,94.6861,0
2026-06-27 14:58:51,58,W+9.5,23142,2,True,False,False,,-1,88.7976,0
2026-06-27 15:00:23,140,B+0.5,55860,7,True,False,False,,-1,89.2193,0
2026-06-27 15:01:44,103,W+5.5,41097,4,True,False,False,,-1,88.2932,0
2026-06-27 15:03:05,93,B+7.5,37107,7,True,False,False,,-1,87.5627,0
2026-06-27 15:04:16,70,W+0.5,27930,3,True,False,False,,-1,86.058,0
2026-06-27 15:05:44,108,B+2.5,43092,7,True,False,False,,-1,86.2519,0
2026-06-27 15:07:08,130,W+48.5,51870,11,True,False,False,,-1,86.0479,0
2026-06-27 15:08:39,111,W+2.5,44289,5,True,False,False,,-1,86.4245,0
2026-06-27 15:10:43,142,W+32.5,56658,6,True,False,False,,-1,88.9229,0
2026-06-27 15:12:12,139,W+45.5,55461,6,True,False,False,,-1,88.9189,0
2026-06-27 15:14:21,150,B+28.5,59850,8,True,False,False,,-1,91.2439,0
2026-06-27 15:16:11,117,W+10.5,46683,6,True,False,False,,-1,92.295,0
2026-06-27 15:17:32,108,B+4.5,43092,7,True,False,False,,-1,91.7029,0
2026-06-27 15:19:24,162,W+47.5,64638,13,True,False,False,,-1,92.7417,0
2026-06-27 15:21:16,126,W+42.5,50274,5,True,False,False,,-1,93.6481,0
2026-06-27 15:22:56,140,W+71.5,55860,3,True,False,False,,-1,93.9224,0
2026-06-27 15:24:15,105,W+2.5,41895,2,True,False,False,,-1,93.273,0
2026-06-27 15:25:44,127,W+53.5,50673,5,True,False,False,,-1,93.1005,0
2026-06-27 15:27:01,100,W+46.5,39900,4,True,False,False,,-1,92.45,0
2026-06-27 15:27:40,40,W+5.5,15960,2,True,False,False,,-1,90.389,0
2026-06-27 15:29:33,144,B+28.5,57456,8,True,False,False,,-1,91.2312,0
2026-06-27 15:32:04,162,B+30.5,64627,8,True,False,False,,-1,93.3613,0
2026-06-27 15:33:35,103,B+6.5,41097,6,True,False,False,,-1,93.2978,0
2026-06-27 15:35:03,132,W+67.5,52668,5,True,False,False,,-1,93.1218,0
2026-06-27 15:36:22,105,W+16.5,41895,5,True,False,False,,-1,92.6699,0
2026-06-27 15:37:11,64,W+9.5,25536,2,True,False,False,,-1,91.3103,0
2026-06-27 15:38:53,139,B+41.5,55461,5,True,False,False,,-1,91.6087,0
2026-06-27 15:39:28,40,W+7.5,15960,2,True,False,False,,-1,89.9648,0
2026-06-27 15:40:56,109,W+4.5,43491,5,True,False,False,,-1,89.8982,0
2026-06-27 15:42:21,106,B+14.5,42294,6,True,False,False,,-1,89.7511,0
2026-06-27 15:43:16,62,W+14.5,24738,2,True,False,False,,-1,88.8328,0
2026-06-27 15:44:40,86,B+2.5,34314,4,True,False,False,,-1,88.7054,0
2026-06-27 15:46:06,117,W+40.5,46683,3,True,False,False,,-1,88.6167,0
2026-06-27 15:47:10,60,W+5.5,23940,2,True,False,False,,-1,88.0088,0
2026-06-27 15:48:17,96,B+2.5,38304,6,True,False,False,,-1,87.4994,0
2026-06-27 15:50:05,159,B+56.5,63440,5,True,False,False,,-1,87.9771,0
