datetime,game_length,game_result,game_simulations,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2026-06-27 14:50:32,70,W+4.5,8421,2,True,False,False,,-1,39.888,0
2026-06-27 14:51:02,92,W+1.5,10051,7,True,False,False,,-1,34.7124,0
2026-06-27 14:51:33,77,B+0.5,8803,4,True,False,False,,-1,33.4794,0
2026-06-27 14:52:16,149,W+25.5,12457,15,True,False,False,,-1,35.8837,0
2026-06-27 14:52:42,88,W+13.5,8615,4,True,False,False,,-1,33.8138,0
2026-06-27 14:53:09,85,B+6.5,9617,9,True,False,False,,-1,32.814,0
2026-06-27 14:53:35,60,W+9.5,8667,3,True,False,False,,-1,31.7739,0
2026-06-27 14:53:59,70,W+13.5,8291,3,True,False,False,,-1,30.8606,0
2026-06-27 14:54:28,98,W+8.5,9772,10,True,False,False,,-1,30.6316,0
2026-06-27 14:54:56,103,B+1.5,9021,9,True,False,False,,-1,30.316,0
2026-06-27 14:55:24,94,W+0.5,9539,11,True,False,False,,-1,30.1539,0
2026-06-27 14:55:55,84,W+12.5,10110,4,True,False,False,,-1,30.1922,0
2026-06-27 14:56:26,143,W+11.5,11065,24,True,False,False,,-1,30.2978,0
2026-06-27 14:56:52,79,B+5.5,8937,10,True,False,False,,-1,29.9914,0
2026-06-27 14:57:23,111,B+25.5,10185,5,True,False,False,,-1,30.0513,0
2026-06-27 14:57:46,56,W+2.5,7448,2,True,False,False,,-1,29.5776,0
2026-06-27 14:58:13,92,W+2.5,9284,3,True,False,False,,-1,29.4396,0
2026-06-27 14:58:39,82,W+4.5,8524,5,True,False,False,,-1,29.2373,0
2026-06-27 14:59:07,78,W+6.5,9538,5,True,False,False,,-1,29.1894,0
2026-06-27 14:59:34,73,B+1.5,9191,3,True,False,False,,-1,29.0806,0
2026-06-27 14:59:58,86,W+12.5,8633,8,True,False,False,,-1,28.8474,0
2026-06-27 15:00:21,68,W+7.5,7996,3,True,False,False,,-1,28.5729,0
2026-06-27 15:00:43,60,W+6.5,7453,4,True,False,False,,-1,28.2673,0
2026-06-27 15:01:06,72,W+1.5,8139,3,True,False,False,,-1,28.0768,0
2026-06-27 15:01:31,68,W+6.5,8468,5,True,False,False,,-1,27.9477,0
2026-06-27 15:02:01,108,B+7.5,10781,9,True,False,False,,-1,28.0224,0
2026-06-27 15:02:25,64,W+4.5,8011,3,True,False,False,,-1,27.8697,0
2026-06-27 15:02:49,76,W+4.5,8288,5,True,False,False,,-1,27.7448,0
2026-06-27 15:03:20,105,B+11.5,10544,7,True,False,False,,-1,27.8598,0
2026-06-27 15:03:45,64,W+6.5,8522,5,True,False,False,,-1,27.7634,0
2026-06-27 15:04:12,79,B+7.5,8838,7,True,False,False,,-1,27.7123,0
2026-06-27 15:04:39,85,B+3.5,9078,9,True,False,False,,-1,27.697,0
2026-06-27 15:05:05,74,W+16.5,8882,2,True,False,False,,-1,27.6504,0
2026-06-27 15:05:29,68,W+5.5,8501,3,True,False,False,,-1,27.5554,0
2026-06-27 15:05:56,97,B+0.5,9051,10,True,False,False,,-1,27.5152,0
2026-06-27 15:06:15,46,W+7.5,6614,4,True,False,False,,-1,27.296,0
2026-06-27 15:06:40,60,W+5.5,8370,4,True,False,False,,-1,27.2245,0
2026-06-27 15:07:07,86,W+12.5,8950,5,True,False,False,,-1,27.2146,0
2026-06-27 15:07:34,81,B+1.5,9501,5,True,False,False,,-1,27.214,0
2026-06-27 15:08:02,91,B+0.5,9219,5,True,False,False,,-1,27.2292,0
2026-06-27 15:08:33,119,B+7.5,10224,15,True,False,False,,-1,27.3229,0
2026-06-27 15:08:58,67,B+3.5,8255,5,True,False,False,,-1,27.2629,0
2026-06-27 15:09:27,85,B+0.5,9787,7,True,False,False,,-1,27.3095,0
2026-06-27 15:09:55,91,B+3.5,9239,9,True,False,False,,-1,27.3207,0
2026-06-27 15:10:20,82,W+6.5,8472,5,True,False,False,,-1,27.2839,0
2026-06-27 15:10:38,38,W+8.5,6203,2,True,False,False,,-1,27.0842,0
2026-06-27 15:11:04,79,B+8.5,8836,9,True,False,False,,-1,27.0582,0
2026-06-27 15:11:30,84,W+4.5,9135,5,True,False,False,,-1,27.0374,0
2026-06-27 15:11:55,64,W+6.5,8825,3,True,False,False,,-1,26.9947,0
2026-06-27 15:12:25,100,W+9.5,10429,9,True,False,False,,-1,27.0497,0
2026-06-27 15:12:55,98,W+13.5,10197,5,True,False,False,,-1,27.1064,0
2026-06-27 15:13:19,66,W+6.5,8043,3,True,False,False,,-1,27.0482,0
2026-06-27 15:13:47,106,B+12.5,9585,9,True,False,False,,-1,27.0693,0
2026-06-27 15:14:07,62,W+9.5,7209,2,True,False,False,,-1,26.9411,0
2026-06-27 15:14:35,91,B+2.5,9016,8,True,False,False,,-1,26.9535,0
2026-06-27 15:15:04,97,B+7.5,9685,8,True,False,False,,-1,26.9896,0
2026-06-27 15:15:30,85,B+8.5,8646,8,True,False,False,,-1,26.9695,0
2026-06-27 15:15:56,75,B+2.5,8657,4,True,False,False,,-1,26.9544,0
2026-06-27 15:16:24,88,W+6.5,9436,6,True,False,False,,-1,26.9693,0
2026-06-27 15:16:50,88,W+7.5,8932,7,True,False,False,,-1,26.9547,0
2026-06-27 15:17:19,86,W+1.5,9495,7,True,False,False,,-1,26.9837,0
2026-06-27 15:17:45,95,B+1.5,9475,6,True,False,False,,-1,26.9768,0
2026-06-27 15:18:12,82,W+0.5,8856,3,True,False,False,,-1,26.9749,0
2026-06-27 15:18:47,147,B+33.5,11971,11,True,False,False,,-1,27.1046,0
2026-06-27 15:19:13,68,W+16.5,8586,4,True,False,False,,-1,27.0838,0
2026-06-27 15:19:38,64,W+13.5,8275,3,True,False,False,,-1,27.0451,0
2026-06-27 15:20:04,64,W+6.5,8897,5,True,False,False,,-1,27.0331,0
2026-06-27 15:20:32,86,W+5.5,9702,4,True,False,False,,-1,27.0532,0
2026-06-27 15:20:59,76,W+4.5,8932,6,True,False,False,,-1,27.0555,0
2026-06-27 15:21:22,52,W+7.5,7642,2,True,False,False,,-1,26.9951,0
2026-06-27 15:21:48,56,W+4.5,8647,2,True,False,False,,-1,26.9778,0
2026-06-27 15:22:18,104,W+26.5,10132,6,True,False,False,,-1,27.0201,0
2026-06-27 15:22:47,111,B+5.5,9987,9,True,False,False,,-1,27.0476,0
2026-06-27 15:23:21,130,W+44.5,11138,6,True,False,False,,-1,27.1402,0
2026-06-27 15:23:46,75,B+0.5,8393,5,True,False,False,,-1,27.1056,0
2026-06-27 15:24:08,64,W+7.5,7559,3,True,False,False,,-1,27.0412,0
2026-06-27 15:24:33,68,W+3.5,8703,2,True,False,False,,-1,27.017,0
