datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2026-06-19 00:40:01,200,4.383069038391113,0.9003064632415771,0.01,10000,1229636
2026-06-19 00:40:17,400,4.37407922744751,0.8595016002655029,0.01,10000,1229636
2026-06-19 00:40:31,600,4.36083984375,0.8127433061599731,0.01,10000,1229636
2026-06-19 00:40:46,800,4.2690582275390625,0.7275888323783875,0.01,10000,1229636
2026-06-19 00:41:01,1000,4.188409805297852,0.7322622537612915,0.01,10000,1229636
2026-06-19 05:50:38,1200,4.091344356536865,0.8858630061149597,0.01,20000,2324341
2026-06-19 05:50:55,1400,3.8859949111938477,0.8053903579711914,0.01,20000,2324341
2026-06-19 05:51:12,1600,3.803744316101074,0.784252941608429,0.01,20000,2324341
2026-06-19 05:51:27,1800,3.7392899990081787,0.8094829320907593,0.01,20000,2324341
2026-06-19 05:51:42,2000,3.6192593574523926,0.8126232624053955,0.01,20000,2324341
2026-06-26 00:56:24,200,4.358959674835205,0.8435804843902588,0.01,10000,1184246
2026-06-26 00:56:41,400,4.3589348793029785,0.7375341653823853,0.01,10000,1184246
2026-06-26 00:56:59,600,4.365152359008789,0.8393568992614746,0.01,10000,1184246
2026-06-26 00:57:16,800,4.248132705688477,0.8209935426712036,0.01,10000,1184246
2026-06-26 00:57:33,1000,4.201333045959473,0.7709577679634094,0.01,10000,1184246
2026-06-26 06:10:35,1200,4.072092533111572,0.8375899195671082,0.01,20000,2280806
2026-06-26 06:10:53,1400,3.839716911315918,0.796320915222168,0.01,20000,2280806
2026-06-26 06:11:11,1600,3.799221992492676,0.7695510983467102,0.01,20000,2280806
2026-06-26 06:11:29,1800,3.7498674392700195,0.770825207233429,0.01,20000,2280806
2026-06-26 06:11:46,2000,3.6556029319763184,0.8050564527511597,0.01,20000,2280806
2026-06-26 11:08:13,2200,3.3967089653015137,0.7739210724830627,0.01,30000,3328836
2026-06-26 11:08:30,2400,3.305612325668335,0.8078044652938843,0.01,30000,3328836
2026-06-26 11:08:46,2600,3.5353946685791016,0.8623259663581848,0.01,30000,3328836
2026-06-26 11:09:03,2800,3.285507917404175,0.7948971390724182,0.01,30000,3328836
2026-06-26 11:09:20,3000,3.320234775543213,0.8253167867660522,0.01,30000,3328836
2026-06-26 16:19:45,3200,3.257302761077881,0.8233316540718079,0.01,40000,4385052
2026-06-26 16:20:01,3400,3.11855411529541,0.7701231837272644,0.01,40000,4385052
2026-06-26 16:20:16,3600,3.0182275772094727,0.823468029499054,0.01,40000,4385052
2026-06-26 16:20:33,3800,3.0635550022125244,0.8088126182556152,0.01,40000,4385052
2026-06-26 16:20:49,4000,3.265246868133545,0.7714142203330994,0.01,40000,4385052
