datetime,game_length,game_result,game_simulations,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2026-05-27 22:30:53,42,W+6.5,210.0,3,True,False,False,,-1,0.5217,0
2026-05-27 22:30:54,68,W+9.5,340.0,2,True,False,False,,-1,0.7196,0
2026-05-27 22:30:57,162,W+59.5,810.0,9,True,False,False,,-1,1.5123,0
2026-05-27 22:30:58,60,W+7.5,300.0,3,True,False,False,,-1,1.3265,0
2026-05-27 22:31:00,98,B+6.5,490.0,5,True,False,False,,-1,1.3594,0
2026-05-27 22:31:01,89,B+1.5,445.0,2,True,False,False,,-1,1.3524,0
2026-05-27 22:31:02,93,B+10.5,465.0,6,True,False,False,,-1,1.3577,0
2026-05-27 22:31:05,139,B+28.5,695.0,6,True,False,False,,-1,1.4962,0
2026-05-27 22:31:06,90,W+9.5,450.0,3,True,False,False,,-1,1.4783,0
2026-05-27 22:31:07,74,W+15.5,370.0,3,True,False,False,,-1,1.433,0
2026-05-27 22:31:08,68,W+8.5,340.0,2,True,False,False,,-1,1.3829,0
2026-05-27 22:31:10,113,B+14.5,565.0,2,True,False,False,,-1,1.4208,0
2026-05-27 22:31:11,84,W+15.5,420.0,4,True,False,False,,-1,1.4063,0
2026-05-27 22:31:12,62,W+4.5,310.0,2,True,False,False,,-1,1.3632,0
2026-05-27 22:31:13,86,W+17.5,430.0,6,True,False,False,,-1,1.3548,0
2026-05-27 22:31:15,115,B+11.5,575.0,8,True,False,False,,-1,1.3854,0
2026-05-27 22:31:16,58,W+7.5,290.0,2,True,False,False,,-1,1.3466,0
2026-05-27 22:31:16,44,W+5.5,220.0,2,True,False,False,,-1,1.3016,0
2026-05-27 22:31:18,90,W+10.5,450.0,3,True,False,False,,-1,1.3041,0
2026-05-27 22:31:19,84,W+18.5,420.0,3,True,False,False,,-1,1.2997,0
2026-05-27 22:31:20,93,W+17.5,465.0,4,True,False,False,,-1,1.302,0
2026-05-27 22:31:22,100,W+13.5,500.0,5,True,False,False,,-1,1.3162,0
2026-05-27 22:31:23,103,W+14.5,515.0,4,True,False,False,,-1,1.3276,0
2026-05-27 22:31:25,81,B+8.5,405.0,5,True,False,False,,-1,1.3218,0
2026-05-27 22:31:26,89,B+7.5,445.0,4,True,False,False,,-1,1.321,0
2026-05-27 22:31:28,144,W+31.5,720.0,2,True,False,False,,-1,1.3643,0
2026-05-27 22:31:29,46,W+7.5,230.0,2,True,False,False,,-1,1.3338,0
2026-05-27 22:31:31,105,B+18.5,525.0,4,True,False,False,,-1,1.3432,0
2026-05-27 22:31:32,94,W+8.5,470.0,5,True,False,False,,-1,1.3455,0
2026-05-27 22:31:34,104,W+27.5,520.0,2,True,False,False,,-1,1.3549,0
2026-05-27 22:31:35,115,B+21.5,575.0,7,True,False,False,,-1,1.3719,0
2026-05-27 22:31:38,134,W+4.5,670.0,5,True,False,False,,-1,1.4025,0
2026-05-27 22:31:40,108,W+7.5,540.0,3,True,False,False,,-1,1.4115,0
2026-05-27 22:31:41,70,W+7.5,350.0,4,True,False,False,,-1,1.3997,0
2026-05-27 22:31:42,87,B+2.5,435.0,2,True,False,False,,-1,1.3957,0
2026-05-27 22:31:43,94,W+1.5,470.0,3,True,False,False,,-1,1.3953,0
2026-05-27 22:31:44,60,W+7.5,300.0,2,True,False,False,,-1,1.3794,0
2026-05-27 22:31:45,74,W+0.5,370.0,2,True,False,False,,-1,1.3699,0
2026-05-27 22:31:46,92,W+9.5,460.0,6,True,False,False,,-1,1.3703,0
2026-05-27 22:31:48,110,B+3.5,550.0,3,True,False,False,,-1,1.3792,0
2026-05-27 22:31:48,28,W+7.5,140.0,2,True,False,False,,-1,1.3528,0
2026-05-27 22:31:49,67,W+4.5,335.0,2,True,False,False,,-1,1.3422,0
2026-05-27 22:31:50,48,W+10.5,240.0,3,True,False,False,,-1,1.3267,0
2026-05-27 22:31:51,77,B+4.5,385.0,4,True,False,False,,-1,1.3207,0
2026-05-27 22:31:52,38,W+6.5,190.0,2,True,False,False,,-1,1.3007,0
2026-05-27 22:31:53,82,W+0.5,410.0,2,True,False,False,,-1,1.2985,0
2026-05-27 22:31:53,58,W+7.5,290.0,4,True,False,False,,-1,1.2863,0
2026-05-27 22:31:56,162,B+32.5,810.0,3,True,False,False,,-1,1.3217,0
2026-05-27 22:31:57,46,W+10.5,230.0,2,True,False,False,,-1,1.306,0
2026-05-27 22:31:59,116,W+11.5,580.0,4,True,False,False,,-1,1.3177,0
2026-05-27 22:32:00,62,W+4.5,310.0,4,True,False,False,,-1,1.3078,0
2026-05-27 22:32:00,54,W+6.5,270.0,3,True,False,False,,-1,1.2957,0
2026-05-27 22:32:02,86,W+4.5,430.0,2,True,False,False,,-1,1.2949,0
2026-05-27 22:32:03,66,W+0.5,330.0,5,True,False,False,,-1,1.2879,0
2026-05-27 22:32:04,87,B+10.5,435.0,5,True,False,False,,-1,1.2885,0
2026-05-27 22:32:05,82,W+3.5,410.0,5,True,False,False,,-1,1.2862,0
2026-05-27 22:32:06,52,W+4.5,260.0,2,True,False,False,,-1,1.275,0
2026-05-27 22:32:08,124,W+50.5,620.0,3,True,False,False,,-1,1.2877,0
2026-05-27 22:32:09,70,W+1.5,350.0,2,True,False,False,,-1,1.2817,0
2026-05-27 22:32:10,105,W+7.5,525.0,3,True,False,False,,-1,1.287,0
2026-05-27 22:32:12,128,W+37.5,640.0,4,True,False,False,,-1,1.301,0
2026-05-27 22:32:14,90,B+4.5,450.0,2,True,False,False,,-1,1.3014,0
2026-05-27 22:32:15,76,W+6.5,380.0,2,True,False,False,,-1,1.2972,0
2026-05-27 22:32:16,72,W+6.5,360.0,4,True,False,False,,-1,1.2933,0
2026-05-27 22:32:17,92,W+13.5,460.0,3,True,False,False,,-1,1.2944,0
2026-05-27 22:32:18,42,W+9.5,210.0,2,True,False,False,,-1,1.2818,0
2026-05-27 22:32:19,70,W+6.5,350.0,3,True,False,False,,-1,1.2767,0
2026-05-27 22:32:20,94,W+2.5,470.0,3,True,False,False,,-1,1.2783,0
2026-05-27 22:32:21,46,W+11.5,230.0,3,True,False,False,,-1,1.2678,0
2026-05-27 22:32:22,81,B+4.5,405.0,3,True,False,False,,-1,1.266,0
2026-05-27 22:32:23,75,B+3.5,375.0,3,True,False,False,,-1,1.2627,0
2026-05-27 22:32:24,104,W+30.5,520.0,3,True,False,False,,-1,1.2678,0
2026-05-27 22:32:26,111,W+16.5,555.0,6,True,False,False,,-1,1.2743,0
2026-05-27 22:32:27,78,W+8.5,390.0,3,True,False,False,,-1,1.2716,0
2026-05-27 22:32:28,54,W+5.5,270.0,2,True,False,False,,-1,1.2638,0
2026-05-27 22:32:28,50,W+5.5,250.0,3,True,False,False,,-1,1.2548,0
2026-05-27 22:32:29,42,W+4.5,210.0,2,True,False,False,,-1,1.2456,0
2026-05-27 22:32:31,131,B+39.5,655.0,3,True,False,False,,-1,1.2568,0
2026-05-27 22:32:33,106,W+6.5,530.0,6,True,False,False,,-1,1.2618,0
2026-05-27 22:32:34,62,W+8.5,310.0,2,True,False,False,,-1,1.2559,0
2026-05-27 22:32:35,88,W+5.5,440.0,4,True,False,False,,-1,1.2566,0
2026-05-27 22:32:35,24,W+6.5,120.0,2,True,False,False,,-1,1.2443,0
2026-05-27 22:32:36,58,W+6.5,290.0,2,True,False,False,,-1,1.2383,0
2026-05-27 22:32:37,84,W+7.5,420.0,4,True,False,False,,-1,1.2381,0
2026-05-27 22:32:39,123,B+38.5,615.0,3,True,False,False,,-1,1.2475,0
2026-05-27 22:32:40,80,W+16.5,400.0,3,True,False,False,,-1,1.2465,0
2026-05-27 22:32:42,92,B+4.5,460.0,2,True,False,False,,-1,1.2484,0
2026-05-27 22:32:44,146,B+40.5,730.0,5,True,False,False,,-1,1.2653,0
2026-05-27 22:32:45,60,W+9.5,300.0,2,True,False,False,,-1,1.2597,0
2026-05-27 22:32:46,84,W+20.5,420.0,2,True,False,False,,-1,1.2592,0
2026-05-27 22:32:48,85,B+8.5,425.0,3,True,False,False,,-1,1.259,0
2026-05-27 22:32:49,76,W+4.5,380.0,2,True,False,False,,-1,1.2569,0
2026-05-27 22:32:49,60,W+11.5,300.0,2,True,False,False,,-1,1.2515,0
2026-05-27 22:32:50,72,W+7.5,360.0,3,True,False,False,,-1,1.2481,0
2026-05-27 22:32:53,132,W+17.5,660.0,3,True,False,False,,-1,1.2582,0
2026-05-27 22:32:54,86,W+16.5,430.0,8,True,False,False,,-1,1.2582,0
2026-05-27 22:36:28,42,W+6.5,210.0,3,True,False,False,,-1,0.5056,0
2026-05-27 22:36:29,68,W+9.5,340.0,2,True,False,False,,-1,0.7253,0
2026-05-27 22:36:32,162,W+59.5,810.0,9,True,False,False,,-1,1.4961,0
