[2026-05-13 15:12:21.823] actor-3 started
[2026-05-13 15:22:51.317] Game 1: Simulations: 41263; Returns: -1 1; Actions: B h7 W j7 B d6 W f2 B j8 W b6 B e8 W g6 B d1 W j4 B f3 W j9 B g5 W a3 B b2 W d8 B e7 W c8 B e4 W e1 B b1 W b8 B e3 W c4 B c6 W a5 B d2 W h4 B j5 W f4 B b7 W g4 B d3 W d9 B f6 W e9 B d4 W PASS B b9 W c1 B j1 W PASS B g7 W f5 B c3 W a9 B h5 W d5 B c2 W e2 B d7 W f8 B g3 W PASS B b4 W g8 B h6 W a4 B a7 W j2 B b5 W h2 B g9 W j3 B h9 W c9 B a8 W g1 B c5 W f7 B g2 W e6 B c4 W f9 B c7 W e5 B f1 W a6 B e1 W h1 B a2 W j1 B j6 W h8 B e2 W g6 B j9 W j7 B h9 W j5 B h3 W g5 B g7 W f6 B g9 W b9 B b3 W j9 B h9 W b6 B a6 W h7 B h5 W a4 B a1 W g9 B b6 W g7 B a3 W j6 B c1 W h9 B a5 W PASS B a4 W PASS B PASS
[2026-05-13 15:33:33.297] Game 2: Simulations: 43249; Returns: 1 -1; Actions: B e3 W b8 B a9 W e2 B j2 W f2 B j8 W c4 B d5 W h7 B f7 W a5 B e1 W e5 B c8 W PASS B c1 W b4 B g4 W c5 B c6 W a4 B d6 W PASS B d8 W PASS B j4 W PASS B g7 W PASS B g5 W PASS B d4 W PASS B d1 W d2 B b2 W a6 B j5 W h9 B b3 W b6 B h1 W d9 B f4 W h6 B c7 W g6 B g2 W c9 B g8 W d7 B b1 W f9 B a8 W a3 B j7 W a7 B e7 W j3 B PASS W g1 B PASS W j6 B a1 W f3 B e4 W e9 B f6 W h8 B a2 W h3 B e8 W j9 B h5 W h4 B j1 W f1 B g9 W b9 B e6 W c3 B a8 W j8 B j7 W c2 B b7 W g6 B h7 W a9 B f5 W h8 B j6 W b1 B j8 W e1 B d1 W d3 B f8 W a1 B h9 W b5 B a8 W a2 B PASS W c9 B b8 W h2 B h6 W b9 B g3 W j1 B e5 W c1 B b2 W b3 B d9 W e9 B f9 W h1 B a9 W b2 B c9 W PASS B PASS
[2026-05-13 15:43:43.746] Game 3: Simulations: 42846; Returns: -1 1; Actions: B e7 W e8 B c3 W c4 B d1 W a2 B g9 W c7 B a1 W h9 B e1 W j6 B g3 W PASS B h5 W d4 B a8 W PASS B d6 W f1 B b2 W f3 B e3 W PASS B b8 W PASS B b6 W PASS B a6 W j4 B d9 W b4 B f4 W c5 B a4 W PASS B b7 W d8 B c8 W e2 B j9 W b5 B f2 W a9 B d2 W a5 B a7 W c1 B e9 W j3 B b3 W c9 B g6 W e5 B PASS W g1 B j7 W f6 B f3 W b1 B b9 W g5 B e2 W j8 B j5 W f7 B f8 W h7 B f9 W g4 B a9 W d3 B h3 W a1 B d7 W d8 B c2 W h1 B j1 W h8 B e4 W f5 B a3 W b1 B h4 W e6 B PASS W g7 B g8 W h6 B a1 W a2 B c6 W j2 B a1 W h2 B c1 W g2 B a2 W b1 B j5 W d2 B e8 W PASS B f3 W a3 B f2 W d5 B a2 W j9 B d8 W c3 B h5 W c2 B c7 W a4 B d1 W c1 B b3 W j7 B f4 W h3 B e2 W b2 B e3 W g3 B e1 W PASS B PASS
[2026-05-13 15:51:48.932] Game 4: Simulations: 38284; Returns: 1 -1; Actions: B b6 W f4 B f2 W g4 B e9 W c7 B h5 W c1 B c5 W b4 B d3 W PASS B j8 W PASS B e7 W j2 B b1 W g1 B h3 W d4 B d1 W PASS B j1 W PASS B e6 W PASS B c9 W e1 B b3 W PASS B h6 W PASS B h4 W a8 B c8 W b2 B a2 W b5 B j5 W h9 B e5 W a4 B d9 W f8 B j6 W e8 B h8 W a6 B f5 W g9 B a9 W d5 B c4 W a7 B h1 W b8 B g5 W g8 B f9 W g2 B j4 W j7 B f3 W f7 B g3 W d2 B c2 W h2 B b2 W e4 B g7 W PASS B a3 W PASS B a5 W d6 B b9 W d8 B b7 W b4 B a9 W d7 B c3 W e9 B a1 W f9 B j9 W f1 B c6 W c9 B e3 W j1 B d1 W a4 B h7 W f6 B b5 W c1 B j7 W d1 B e2 W d9 B j3 W g6 B h1 W c8 B g1 W d2 B j2 W e1 B j1 W d1 B a4 W b9 B c1 W g2 B PASS W PASS
[2026-05-13 16:00:19.160] Game 5: Simulations: 39908; Returns: 1 -1; Actions: B a4 W e7 B h7 W d6 B h9 W a9 B e9 W d7 B c9 W f7 B e3 W j1 B a5 W h8 B e4 W g3 B e5 W a3 B d1 W b8 B c8 W c4 B j2 W c7 B a7 W c1 B b3 W a1 B b4 W f4 B b9 W f9 B h3 W e2 B g6 W b5 B e6 W d4 B g5 W g1 B j7 W PASS B b6 W PASS B d2 W PASS B j3 W PASS B d5 W PASS B b1 W PASS B j4 W c2 B e1 W a8 B h4 W f2 B PASS W j5 B f1 W PASS B h2 W h1 B g8 W f8 B f5 W j8 B c6 W g9 B g4 W f6 B d8 W d3 B d9 W j9 B d1 W g2 B h9 W e1 B c5 W j8 B a2 W h8 B j9 W e8 B d8 W j8 B f3 W d2 B a6 W h5 B a3 W d9 B b5 W c8 B f4 W d1 B h8 W f1 B j8 W j6 B b9 W b7 B h6 W j5 B a1 W c9 B g7 W h5 B c3 W d8 B j6 W j5 B h5 W e9 B PASS W PASS
[2026-05-13 16:08:17.224] Game 6: Simulations: 36086; Returns: -1 1; Actions: B f4 W d1 B a4 W e6 B h8 W a7 B h6 W c5 B d4 W b9 B j8 W f2 B f1 W j5 B d6 W g9 B e1 W PASS B a3 W PASS B h2 W PASS B d8 W a1 B f3 W PASS B e3 W a2 B c2 W g3 B b4 W g6 B b7 W PASS B g1 W PASS B h9 W e4 B c8 W g7 B a9 W e2 B b1 W f9 B b2 W a8 B PASS W h7 B PASS W a5 B g5 W j7 B h3 W j2 B c1 W d7 B h1 W e8 B c3 W a2 B f8 W c4 B a1 W a9 B g4 W j4 B PASS W e5 B PASS W e7 B b6 W j3 B b8 W c9 B c6 W a6 B c7 W f7 B e9 W b5 B d9 W d2 B d3 W d5 B b7 W e9 B g2 W j1 B b6 W d8 B g8 W e2 B d6 W d2 B f5 W f2 B d1 W d2 B e2 W f6 B PASS W j6 B b8 W h4 B h5 W c6 B f2 W c8 B a2 W PASS B b3 W d9 B d2 W PASS B PASS
[2026-05-13 16:08:51.179] Game 7: Simulations: 2055; Returns: -1 1; Actions: B c5 W b1 B b4 W d1 B d3 W j7 B g1 W b2 B g7 W b3 B f6 W g5 B c2 W PASS B c8 W d9 B a3 W PASS B h1 W PASS B f8 W c7 B PASS W PASS
[2026-05-13 16:16:54.801] Game 8: Simulations: 37489; Returns: 1 -1; Actions: B e7 W a4 B a3 W g1 B a8 W PASS B e8 W h3 B c4 W d4 B j2 W g9 B d6 W h7 B e4 W h8 B f8 W a5 B h6 W c3 B h9 W j6 B f6 W b5 B d5 W PASS B g6 W c9 B f3 W h5 B a2 W PASS B b3 W PASS B g4 W PASS B d3 W f1 B e3 W d2 B b6 W j5 B e6 W e1 B j7 W g7 B a7 W f9 B e9 W d9 B b9 W a1 B j9 W h1 B g3 W d1 B PASS W d7 B b8 W f4 B f2 W d8 B f7 W e5 B j4 W h2 B e2 W c8 B b1 W a6 B a9 W g5 B f5 W b7 B b8 W a9 B e5 W c6 B b9 W a7 B h4 W j5 B h5 W b2 B d4 W c5 B c7 W b4 B c2 W d7 B j1 W a8 B j3 W j8 B g2 W j6 B j7 W g8 B h9 W j9 B c3 W c9 B j6 W c8 B b8 W d9 B d8 W b9 B f4 W c7 B g5 W b6 B PASS W PASS
[2026-05-13 16:25:29.541] Game 9: Simulations: 40029; Returns: 1 -1; Actions: B c1 W g1 B a5 W g6 B j9 W c7 B h1 W g8 B e2 W a4 B c8 W f1 B b5 W a2 B b7 W g5 B e8 W a6 B b2 W h6 B j3 W j4 B a7 W a9 B f9 W e1 B h3 W d4 B b8 W PASS B f3 W PASS B b4 W PASS B e5 W PASS B j8 W PASS B f7 W PASS B d8 W PASS B c5 W d7 B f4 W d2 B b1 W f5 B e6 W g3 B g9 W d6 B c6 W e4 B j5 W e9 B c9 W f8 B a1 W e7 B d9 W b9 B PASS W g7 B a3 W h4 B g4 W h5 B h2 W d1 B c4 W f6 B b3 W c3 B j1 W d5 B h7 W h9 B h8 W e3 B e5 W e6 B g2 W e5 B j6 W j7 B j5 W j6 B c2 W h9 B d3 W f7 B a8 W a9 B h8 W e9 B f9 W j8 B b9 W f2 B e2 W d1 B PASS W f1 B g3 W g9 B e1 W h7 B b6 W j5 B g1 W e9 B c3 W f9 B a2 W j9 B PASS W PASS
[2026-05-13 16:35:55.897] Game 10: Simulations: 44361; Returns: 1 -1; Actions: B g3 W c9 B c7 W e5 B c5 W a9 B b7 W c4 B e3 W g6 B e6 W a3 B b2 W b8 B d6 W a7 B g4 W h4 B d1 W f4 B d9 W d3 B h1 W d4 B j6 W b6 B f8 W f3 B g5 W PASS B j7 W PASS B a5 W PASS B c1 W PASS B j2 W PASS B h6 W PASS B e4 W PASS B j1 W PASS B g9 W PASS B c8 W g7 B c6 W b9 B f6 W e9 B g2 W f1 B h2 W e1 B PASS W c2 B a8 W h7 B d2 W a2 B PASS W b9 B e7 W g1 B b1 W f7 B a4 W f5 B PASS W h9 B a9 W h8 B h3 W j5 B g8 W e2 B e4 W b3 B j4 W j8 B a6 W e3 B e8 W c9 B d8 W b5 B j9 W b4 B h9 W f7 B d5 W f2 B g6 W a1 B b1 W a7 B a4 W c1 B f9 W a5 B b8 W b2 B h7 W h8 B d1 W j3 B g7 W h5 B a6 W b9 B e9 W a7 B j4 W h5 B d7 W a6 B j5 W a4 B j8 W d2 B f7 W c3 B c9 W b1 B b9 W PASS B PASS
[2026-05-13 16:41:57.294] Game 11: Simulations: 26339; Returns: 1 -1; Actions: B f9 W h3 B c1 W e7 B c6 W c2 B g9 W g4 B f8 W f3 B b8 W b6 B d5 W PASS B a4 W PASS B g8 W PASS B b1 W PASS B g7 W PASS B e4 W PASS B h6 W b7 B b2 W b9 B j5 W j4 B d8 W c9 B e1 W c7 B d1 W b5 B e3 W d2 B j3 W g5 B PASS W a7 B PASS W b4 B PASS W a5 B d3 W c5 B j2 W a9 B h5 W h1 B PASS W g2 B h2 W b3 B d6 W f6 B f2 W d9 B f4 W h9 B e8 W PASS B h4 W PASS B h7 W PASS B e6 W PASS B d4 W h8 B d7 W f1 B a3 W f7 B j7 W a2 B j9 W c4 B g3 W f5 B c3 W j1 B e9 W e5 B c8 W a1 B a3 W a4 B j6 W a1 B a2 W j8 B h3 W a8 B PASS W PASS
[2026-05-13 16:47:56.536] Game 12: Simulations: 26118; Returns: 1 -1; Actions: B d4 W f2 B j1 W j7 B h6 W h3 B g2 W a9 B b1 W b3 B j4 W a4 B g8 W d8 B a3 W a1 B h4 W f5 B g4 W c6 B b5 W PASS B c1 W g7 B j3 W j2 B g6 W j5 B b6 W h2 B d9 W f4 B c4 W g9 B h8 W h9 B j8 W PASS B d1 W PASS B c3 W b2 B g3 W c9 B h1 W a7 B b4 W e9 B c5 W a8 B a2 W c2 B e2 W e1 B e5 W b7 B PASS W b9 B d6 W h2 B e3 W PASS B h7 W h3 B c7 W a1 B f6 W PASS B d2 W e8 B e6 W f3 B j2 W f8 B a2 W e4 B a3 W a5 B b3 W c8 B j9 W j6 B PASS W g5 B f1 W b8 B d5 W f9 B b2 W d9 B h3 W a6 B f7 W d7 B c6 W PASS B PASS
[2026-05-13 16:55:27.473] Game 13: Simulations: 32529; Returns: 1 -1; Actions: B f1 W b3 B g5 W e4 B h3 W h5 B d4 W j7 B b9 W b8 B j5 W f8 B d1 W b4 B c1 W a6 B d5 W c8 B f5 W e2 B d3 W b5 B c3 W g4 B a4 W PASS B a7 W h9 B e1 W a5 B d6 W PASS B c6 W g9 B j6 W PASS B e7 W PASS B j2 W j1 B g1 W j4 B b1 W PASS B e5 W PASS B a8 W c5 B g8 W f4 B g6 W j9 B d7 W e3 B j3 W d9 B c2 W e8 B e6 W PASS B e9 W c7 B PASS W g7 B h2 W d8 B b2 W h8 B f7 W j8 B h1 W a3 B h4 W h6 B d2 W a1 B c9 W b7 B g3 W f3 B f2 W a9 B e3 W a7 B f6 W g4 B a2 W f9 B h7 W g8 B e4 W c9 B b6 W c4 B f4 W h6 B h5 W e9 B e2 W a4 B h7 W a8 B h6 W PASS B PASS
[2026-05-13 17:03:31.491] Game 14: Simulations: 36243; Returns: -1 1; Actions: B g9 W j8 B g2 W c1 B j3 W j5 B e5 W f8 B a7 W j1 B f1 W c7 B a3 W PASS B h2 W PASS B e8 W PASS B a5 W PASS B a4 W PASS B a9 W h5 B h1 W PASS B g1 W PASS B e4 W a2 B d1 W d4 B c5 W f6 B d2 W e9 B j7 W j6 B d3 W j9 B f5 W d6 B b2 W g8 B g4 W e6 B e7 W f2 B b4 W f9 B c6 W c2 B f4 W e2 B g5 W j4 B d5 W d8 B d7 W h9 B b7 W c3 B a8 W g9 B f7 W h8 B b6 W h7 B g6 W f6 B j2 W c9 B b3 W h3 B PASS W d9 B j1 W e3 B h6 W e1 B c4 W e6 B d6 W c8 B h4 W f3 B b9 W d2 B b5 W a1 B a6 W d1 B d3 W g3 B j1 W h1 B g1 W d4 B e6 W j2 B b8 W h2 B b1 W a2 B g2 W d3 B a1 W j7 B f6 W j3 B a2 W PASS B PASS
